Woche,2020,Durchschnitt 2018/2019
1,87.0,115.0
2,161.0,113.0
3,97.0,97.5
4,112.0,87.5
5,108.0,136.5
6,167.0,136.0
7,131.0,90.0
8,100.0,111.0
9,111.0,147.5
10,146.0,132.5
11,104.0,122.5
12,115.0,140.0
13,80.0,122.5
14,125.0,173.5
15,78.0,123.5
16,60.0,109.0
17,77.0,105.0
18,71.0,142.0
19,164.0,105.5
20,127.0,114.0
21,87.0,96.5
22,90.0,106.5
23,116.0,144.5
24,86.0,101.5
25,85.0,101.5
26,77.0,111.5
27,148.0,174.0
28,77.0,114.5
29,98.0,119.0
30,63.0,98.0
31,90.0,165.0
32,95.0,113.5
33,50.0,93.0
34,60.0,94.5
35,62.0,102.5
36,99.0,163.0
37,56.0,105.5
38,51.0,101.5
39,22.0,94.0
40,113.0,129.5
41,56.0,113.0
42,37.0,124.5
43,65.0,105.5
44,47.0,99.5
45,91.0,135.5
46,63.0,92.5
47,69.0,98.0
48,52.0,114.0
49,143.0,164.0
50,60.0,103.5
51,,107.0
52,,36.0
